معرّف الفرعي,معرّف التصنيف الرئيسي,اسم الفرعي (عربي),اسم الفرعي (EN),اسم الفرعي (DE)
gfx-landscape-general,gfx-landscape,عام,General,Allgemein
gfx-decor-living,gfx-decor,معيشات,Living Rooms,Wohnzimmer
gfx-decor-bedrooms,gfx-decor,غرف النوم,Bedrooms,Schlafzimmer
gfx-decor-kitchens,gfx-decor,المطابخ,Kitchens,Küchen
gfx-decor-buildings,gfx-decor,مبانٍ وفلل,Buildings & Villas,Gebäude & Villen
gfx-prints-cards,gfx-prints,بطاقات أعمال,Business Cards,Visitenkarten
gfx-prints-letterhead,gfx-prints,ورق رسمي,Letterhead,Briefpapier
gfx-prints-brochures,gfx-prints,كتيبات ومنشورات,Brochures & Flyers,Broschüren & Flyer
gfx-prints-billboards,gfx-prints,لوحات إعلانية,Billboards,Plakatwände
gfx-prints-gifts,gfx-prints,هدايا,Gifts,Geschenke
gfx-screens-indoor,gfx-screens,شاشات داخلية,Indoor Screens,Innenbildschirme
gfx-screens-wall,gfx-screens,شاشات جدارية,Wall Screens,Wandbildschirme
gfx-screens-flex,gfx-screens,شاشات مرنة,Flexible Screens,Flexible Displays
gfx-screens-hologram,gfx-screens,هولوغرام,Hologram,Hologramm
gfx-3d-engineering,gfx-3d-print,هندسية,Engineering,Ingenieurwesen
gfx-3d-office,gfx-3d-print,مشاريع مكتبية,Office Projects,Büroprojekte
gfx-3d-electronics,gfx-3d-print,أجهزة إلكترونية,Electronic Devices,Elektronische Geräte
gfx-3d-misc,gfx-3d-print,متفرقات,Miscellaneous,Verschiedenes
gfx-ai-engineering,gfx-ai,هندسية,Engineering,Ingenieurwesen
gfx-ai-decor,gfx-ai,ديكورات,Decorations,Dekorationen
gfx-ai-realestate,gfx-ai,عقارات,Real Estate,Immobilien
gfx-ai-misc,gfx-ai,متفرقات,Miscellaneous,Verschiedenes
gfx-plans-general,gfx-plans,عام,General,Allgemein
gfx-industrial-general,gfx-industrial,عام,General,Allgemein
